Mean	Standard deviation
646.87	1055.51
631.99	1029.58
649.69	1060.45
637.26	1039.22
637.83	1038.15
631.51	1027.89
637.14	1036.06
637.04	1035.71
641.09	1046.00
646.91	1057.47
644.49	1053.56
645.14	1052.44
652.98	1065.36
645.68	1056.05
642.13	1046.60
656.80	1068.75
645.60	1055.74
642.28	1049.92
641.97	1046.66
646.18	1053.73

Mean: 643.03
Standard deviation: 1048.74
